FSC-H,SSC-H,GPR32 - AF488-H,FoxP3-PE-H,CD19 - PE-CF595-H,IgD - PerCP-Cy5.5-H,IFNg-PE-Cy7-H,FPRL1 - AF647-H,Zombie NIR-H,IL-17 - BV421-H,CD24 - BV605-H,CD27 - BV650-H,FSC-A,SSC-A,GPR32 - AF488-A,FoxP3-PE-A,CD19 - PE-CF595-A,IgD - PerCP-Cy5.5-A,IFNg-PE-Cy7-A,FPRL1 - AF647-A,Zombie NIR-A,IL-17 - BV421-A,CD24 - BV605-A,CD27 - BV650-A,Width,Time
1041899,194945,852.3531,468,4534.39,290.0975,-38.8714,2334.572,302.3794,1700.959,8350.549,979.7227,366205,57228,2216.847,1051,6243.188,1195.839,-87.56039,4330.365,420.7838,3248.259,14132.3,1218.32,61,46.27
348641,233101,432.7387,647,21690.99,2523.162,-91.82867,4216.85,463.6833,410.8067,4784.795,186.6971,140670,69914,744.466,967,32564.29,3783.186,-71.19666,7000.536,818.7119,1074.868,6890.108,620.7512,57,84.273
457579,160653,806.1964,153,9428.225,379.5705,-250.553,2073.611,124.1053,676.7169,13527.09,139.2395,178135,46284,987.3119,241,13806.98,754.2702,-446.5396,3714.085,260.2534,1654.264,24706.37,-337.5805,56,141.663
734665,171167,800.947,449,9337.322,3313.184,166.8285,5017.915,241.8747,531.9685,11251.68,2211.954,267597,52456,1238.031,561,14097.92,5122.007,417.3735,9628.501,-314.9185,2876.402,18624.98,3544.211,59,253.837
511297,221292,805.7079,900,34581.96,3284.649,553.723,6853.211,1532.486,872.065,5658.193,2991.171,206226,70327,1187.497,1756,56424.45,5890.976,1448.122,10894.02,1328.37,3166.829,13071.58,5536.755,61,267.056
369111,206741,528.5898,434,29804.32,211.4387,-192.6807,2140.412,436.965,878.493,8097.539,78.52107,149549,62268,1007.733,859,47868.51,364.3334,-262.169,2644.991,702.7211,1051.169,14446.56,-548.7695,53,278.172
500542,237058,2735.718,678,20685.78,5887.84,-73.28984,14045.56,1403.484,1017.726,31960.3,355.9482,199166,74221,3816.969,1147,33246.55,8865.931,-291.7605,23315.28,2196.523,1286.698,51645.84,1668.056,56,284.65
569800,117129,905.9638,165,8573.427,703.5009,-147.435,3557.99,251.1467,1021.106,4505.344,440.6722,195683,33420,1425.13,177,10810.2,1855.839,-373.4894,5117.132,302.6029,-178.7698,8460.171,589.6853,53,293.611
737690,150121,1890.306,1125,27353.92,5474.816,-654.438,8215.938,1134.259,466.4908,16044.99,-346.1545,254414,45072,2702.618,2029,36405.96,7991.957,-785.156,11736.3,2242.256,-976.0917,24699.88,1888.534,58,375.049
360733,322951,2161.654,1261,46231.58,4165.218,-185.334,6685.079,1390.179,535.5271,3963.811,-162.305,157527,101746,3342.552,2729,74551.79,6289.26,-265.8227,11417.28,2353.713,359.3008,6302.2,1128.973,52,463.975
223348,237438,1796.031,175,12436.93,1110.791,205.0664,3839.641,921.5433,359.2636,6706.68,1100.845,115324,90371,2758.242,628,20222.14,1964.657,896.414,7425.742,1968.35,778.1384,12736.76,1033.631,63,466.975
683389,88907,177.4528,311,10925.53,746.4428,-249.4116,2234.745,527.8989,357.6837,2267.472,-218.3143,234784,25658,73.89678,532,15094.28,1889.095,-603.743,3401.718,1244.316,-848.7578,3829.343,-669.8644,52,529.407
1008824,229083,358.0973,127,7718.11,442.5196,-102.444,109.8683,487.8831,362.4119,1664.116,-387.8474,392748,69690,479.5727,13,12308.85,986.5118,145.0103,176.0621,949.0887,261.5236,1423.198,-199.9834,61,549.722
581871,192074,598.9083,442,25604.09,4115.617,-171.1299,5057.64,604.369,939.7585,3021.024,1526.682,210811,56288,936.4059,816,34847.46,6951.467,-154.0802,8993.138,959.7038,4169.476,6880.693,1313.172,56,573.433
780653,207327,1033.649,823,33851.34,10842.4,-323.9768,7769.833,1267.085,1834.978,3926.168,-708.8807,297216,63530,1708.89,1737,46877.43,17680.54,-363.2216,11787.27,2789.393,2342.349,8915.048,-697.6569,61,584.143
357639,252128,883.0919,450,11437.85,494.9227,46.01591,3753.442,646.8904,638.1862,12705.59,1207.371,158100,83190,1436.916,600,17451.37,590.918,341.093,7423.283,1406.336,1303.632,25097.61,1962.339,59,614.867
441830,243787,16789.36,1799,22786.41,1616.917,-145.0799,9528.53,1282.245,710.059,54542.93,3415.179,174038,74815,25067.32,3145,34143.15,3490.22,-463.8378,15007.26,2468.104,976.3729,95699.88,3933.499,57,707.149
445600,172437,2365.075,158,9287.757,2047.455,33.99611,3543.157,427.898,617.168,3892.592,916.4028,155736,54406,3060.655,226,12543.47,3554.438,67.36796,5878.538,903.8867,2005.776,8862.165,380.2054,54,804.661
216301,231047,5498.721,1701,2445.242,1351.916,222.6261,397.7737,113.4483,23753.14,6925.643,-911.0982,125773,140397,13660.13,4426,8713.951,2552.628,1482.951,1667.928,550.1826,58255.72,16274.19,-1478.239,78,813.5
409368,224399,770.7758,255,21422.51,4753.314,53.41772,5397.031,751.2806,489.0036,1698.699,1427.642,160291,69458,1836.156,533,33765.75,7665.381,421.7831,8292.91,818.2949,2909.141,3601.718,2984.045,57,907.138
494834,123363,8428.816,1197,18915.42,481.876,46.43159,5750.391,1411.007,57.50084,7810.492,966.9785,162653,36254,13368.68,2453,29284.82,403.6506,143.9173,9438.195,2596.62,161.1389,12068.98,2776.193,54,960.403
522994,121820,2224.206,404,6772.703,332.437,-72.28185,2778.851,1418.938,555.7532,12417.73,3047.298,195860,36825,3138.139,853,11016.86,451.0469,230.8691,4535.994,1983.497,328.5942,22581.45,4546.854,55,1008.875
416002,226223,139.9205,504,13841.32,3176.781,353.0006,3723.035,253.9146,872.287,3698.582,1079.443,168378,67817,-162.4825,825,20752.94,4994.468,783.551,6516.471,848.4622,2589.673,6778.806,1568.652,55,1086.018
446595,164070,1076.214,351,6740.593,233.1006,57.8061,1228.438,764.2729,943.3908,4793.604,131.1258,141213,47847,2255.177,834,11140.88,937.1574,437.2873,1494.895,1279.181,736.4979,9590.415,-272.6291,52,1133.491
583538,142357,6058.939,772,11860.57,2118.204,-34.39034,6889.779,1238.386,363.2273,27428.16,711.484,213107,42163,8789.036,1447,18043.99,2767.737,76.34415,11709.37,1918.89,-489.1515,47247.52,896.6958,57,1537.184
565744,115680,4229.584,514,8596.306,2734.482,206.3533,5904.803,488.8944,181.8684,8343.755,786.5756,167418,32882,6128.345,1158,11384.51,4963.45,208.1326,9676.995,628.6985,683.9053,13564.15,1054.052,47,1616.52
404608,231983,9636.145,1070,10305.65,8963.994,165.0624,12173.5,1191.355,118.1506,3543.715,2119.546,174600,71790,14781.11,1695,14810.6,14448.65,626.9802,20876.15,2784.617,504.2049,7651.681,4517.475,59,1662.087
776089,144090,1278.969,640,20948.03,930.0443,215.8262,1076.406,439.384,1474.477,3914.756,699.1487,265425,42522,1786.336,608,27983.83,2148.004,185.2756,2064.108,626.481,1199.093,7467.172,-217.4717,59,1673.714
648624,268303,1346.206,503,20684.09,2361.903,342.3751,3279.347,1036.106,809.3669,3042.558,-76.98075,219929,76570,1484.725,920,30626.25,4539.813,562.4517,4746.121,1853.499,2672.772,4015.67,-652.529,50,1686.375
490331,234638,825.8091,506,16663.42,1739.928,-30.66238,2168.698,215.5582,1347.313,2289.738,-322.5345,197685,73507,1863.832,725,25248.97,3300.492,82.75146,3312.509,-245.1508,3913.214,3203.98,-1224.338,60,1712.202
567100,204490,12449.05,1471,27800.64,3618.04,-227.9818,9722.123,1298.87,661.5645,7374.047,2552.586,223730,61517,17815.55,1932,38638.19,6300.718,-440.503,16786.82,1894.592,2986.708,14047.79,3102.034,58,1732.098
788708,338867,2344.656,1329,48314.18,6104.417,-152.0369,14092.73,1416.318,599.2631,19449.67,2209.078,319594,108085,3565.792,2269,71788.09,10044.9,-268.8438,21872.28,2622.819,-61.10968,33952.07,4337.05,62,1744.468
524461,200076,561.5768,599,24809.88,4168.805,-656.9007,4125.212,273.48,1310.634,6146.994,-1062.914,193870,59535,1134.269,1292,36180.39,5240.966,-660.5825,7859.813,-327.9922,2021.082,11000.1,-1498.242,55,1747.982
427206,224751,5858.584,1082,26197.46,4026.694,187.9044,7341.319,728.1163,-33.43468,2757.055,1516.896,170532,69002,8627.522,2050,40680.3,6562.86,225.5639,11779.8,1475.077,820.4919,4154.003,2475.92,58,1840.023
349475,212490,337.4472,694,12704.4,-462.8322,-44.6312,449.7575,826.6586,719.5677,1519.116,1218.681,141585,70497,1128.434,1653,20106.01,-142.5526,-203.5538,1186.272,1870.322,2317.613,3424.046,1814.594,58,1918.047
863756,131668,460.9536,161,13871.21,3770.093,-490.8785,2333.697,351.3358,1572.184,2644.477,-713.506,278943,37561,922.9936,46,18863.37,4416.625,-459.1085,3446.548,-28.31448,2151.929,3707.173,357.2729,52,1936.514
889040,243920,558.7261,162,7777.081,-418.4737,46.31226,706.8738,564.7234,559.4348,14.50467,514.5699,354560,76451,1070.173,204,11088.21,-184.0742,153.9075,1024.398,1393.705,758.553,530.861,225.7747,60,1988.376
367277,242528,9166.308,1385,23083.48,910.1945,-312.3919,4797.289,266.4899,736.3511,13817.08,2106.335,152152,79735,15471.03,2720,36526.57,2758.779,-742.3934,8549.615,259.0011,829.8401,25639,2875.716,58,2025.807
485356,153941,685.4224,516,11831.84,1013.103,290.5744,10601.07,191.4872,64.99649,21275.87,2396.35,163301,46065,1073.592,1072,16874.85,1119.576,1134.553,16522.89,-255.6236,-1405.094,39050.4,3129.263,50,2075.89
730154,125385,315.0994,150,7500.763,-473.0276,122.5296,1773.611,260.2911,-434.1409,6990.686,1263.546,256429,36819,637.1207,361,10782.62,-731.8935,539.9849,2836.404,1146.81,-1459.759,13071.99,1320.028,58,2117.135
399256,185197,313.104,334,13979.54,539.9686,96.49114,2651.739,724.9022,-350.0514,2288.647,1523.081,155585,58571,948.5498,733,21243.45,2445.668,93.84492,4853.315,807.7109,-415.5557,5077.335,1332.998,55,2185.749
773581,112556,165.7939,73,8811.57,1101.96,4.161369,1238.655,188.8339,741.7943,1633.26,-501.3764,258610,32858,557.5618,-15,11557.35,2015.167,-180.4337,1757.716,506.3846,651.057,2814.764,-1121.91,55,2265.706
524983,146568,242.1224,149,11545.47,238.34,-22.2496,2703.392,319.4509,353.5711,1995.938,1317.413,184538,41346,178.7193,300,17002.75,1370.119,-71.98232,3504.973,103.1986,386.8979,6054.483,-183.1972,51,2383.368
683451,113604,337.9804,16,6329.226,1020.991,84.38248,712.3863,161.4595,758.2141,7926.815,-734.286,229474,32566,799.9771,20,9588.055,978.6533,617.185,794.5311,26.1048,1300.851,10455.75,-98.34937,56,2430.191
490986,202031,870.2769,518,19588.99,9100.13,-316.5024,7882.526,189.7038,446.4079,4269.801,-302.5541,186238,60383,1927.678,803,31291.15,14666.34,110.4474,16040.14,112.6119,222.956,9459.349,-794.1254,52,2508.216
563475,225564,259.3414,483,18241.21,6251.783,-305.0006,5673.992,679.9916,729.4824,4132.841,111.9415,218293,68214,567.246,611,28354.56,10230.9,-319.9852,8299.655,216.6005,1441.843,5415.1,928.3595,59,2516.651
573573,206430,731.6426,763,33279.36,723.7438,7.470214,2606.61,564.166,199.5913,-506.516,1351.353,212938,61332,1433.7,1056,47143.26,1579.931,273.0714,4180.258,1470.433,-774.7256,-154.3679,1799.206,58,2522.46
302431,263786,434.7414,521,11078.08,3069.425,-463.4502,3874.522,1050.413,660.1842,3390.102,15.18347,121559,75521,978.1266,800,17086.4,4500.96,-559.2167,7936.731,1730.179,-1042.257,8064.015,-32.89334,49,2546.123
510994,143102,451.519,393,8575.046,1488.805,-255.5687,2594.182,488.8708,564.4581,2188.318,-224.2691,173814,40707,279.249,605,12192.13,2060.538,-194.7819,3841.363,835.4554,-357.1407,4282.615,-505.7741,48,2683.64
884189,219196,1134.19,467,4104.458,42.15736,112.1807,137.7717,306.6164,1027.63,-114.4124,943.7951,360326,68933,1769.9,917,7460.83,588.1078,567.3401,896.4262,644.3612,2607.8,708.5786,620.3757,63,2707.169
811226,122961,322.6657,401,8406.088,964.9045,120.0654,2590.187,101.6036,296.4254,2510.852,532.3026,264178,34086,119.1758,758,11068.61,1768.329,462.1216,5595.013,-129.7331,1008.842,3478.757,432.5819,53,2798.154
