FSC-H,SSC-H,GPR32 - AF488-H,FoxP3-PE-H,CD19 - PE-CF595-H,IgD - PerCP-Cy5.5-H,IFNg-PE-Cy7-H,FPRL1 - AF647-H,Zombie NIR-H,IL-17 - BV421-H,CD24 - BV605-H,CD27 - BV650-H,FSC-A,SSC-A,GPR32 - AF488-A,FoxP3-PE-A,CD19 - PE-CF595-A,IgD - PerCP-Cy5.5-A,IFNg-PE-Cy7-A,FPRL1 - AF647-A,Zombie NIR-A,IL-17 - BV421-A,CD24 - BV605-A,CD27 - BV650-A,Width,Time
615393,224173,7165.992,1351,24475.22,7972.514,-199.5258,36032.55,1126.872,1226.426,21434.38,268.6761,223380,67703,10667.38,1883,39465.79,12119.25,-370.0788,61754.97,2202.12,210.0001,33218.17,4371.78,49,40.205
1100926,219110,486.8895,512,29594.49,-183.9078,182.2529,869.8931,1484.58,572.209,4394.606,4190.058,362971,69487,600.8722,935,41188.98,563.8542,122.4151,466.8532,3328.871,-766.7717,7228.592,6816.296,56,233.101
747003,141302,1884.112,311,10343.96,148.8054,173.4684,5720.544,370.5338,1006.597,11814.03,1170.544,253210,40647,2954.217,464,14752.14,383.4896,295.1962,8474.271,744.9023,2599.696,18487.73,3514.833,53,261.209
658940,209447,839.3458,269,6018.475,337.5739,200.1206,2637.937,257.1998,395.4017,26913.16,2287.651,264400,64230,938.6405,823,9051.258,115.3838,562.1185,5480.918,499.6765,981.0302,46069.96,3047.944,54,299.036
553748,219374,5849.646,1027,23220.76,1877.992,-488.5351,3175.074,770.6829,1503.239,8958.316,148.2182,215535,65791,8574.803,2176,37855.84,703.6299,-278.6265,6186.718,1354.713,2153.496,12054.36,4471.306,53,426.889
806456,157884,4523.665,789,15361.93,-25.57105,380.989,11410.48,1147.145,1531.098,21490.16,1718.643,246436,40329,5971.598,1163,19881.12,317.8772,553.8109,18304.08,1805.935,1887.863,39035.68,1173.903,42,514.214
960527,162148,1512.58,551,17952,7183.403,-542.39,13764.57,520.3833,1599.032,10635.98,-1420.91,346522,50075,2179.195,967,27088.54,11296.74,-811.4687,23862.86,1744.086,2726.625,18685.68,-1434.224,56,531.518
555545,265613,816.1671,171,6979.651,-606.6958,69.75793,941.2922,1628.241,335.4713,-781.4398,827.0399,173201,84366,1336.895,473,9769.813,-592.9108,216.9335,1988.358,2320.791,159.798,-302.9702,1003.31,49,723.006
631469,213681,10154.12,1303,19128.03,5186.13,-164.604,11558.56,916.7051,581.321,16711.15,563.388,237850,63322,14624.05,2265,27436.5,8216.298,-126.261,19942.9,2078.073,432.013,30694.73,451.808,55,798.684
695713,229367,9505.233,1295,32944.67,1113.513,-306.3535,946.6545,1943.366,2336.812,-79.43539,-166.6463,269672,68953,12918.4,1943,52646.9,887.2748,-107.6723,1908.544,2714.653,4368.863,-85.24357,593.6708,57,813.986
623979,228566,4920.678,716,16674.19,3936.073,-194.9092,8749.066,1278.214,797.215,12453.31,1910.627,244430,71697,6459.929,1009,23442.13,7005.823,-327.619,14164.65,2115.111,1220.4,21244.99,3315.837,53,864.821
956470,144504,12343.81,1465,13182.96,1122.447,35.71348,3788.301,65.88246,1198.329,2298.46,-1375.592,337441,42034,18568.36,2762,19362.02,1212.605,323.6741,6802.344,-635.1427,2254.826,3230.282,-1647.561,58,870.783
583233,159734,1177.945,585,21294.15,2692.249,-124.6736,3661.356,629.4717,1078.232,6986.473,-807.5462,213995,45321,1762.061,912,31525.81,3897.993,-49.41935,7384.82,836.4201,1533.722,11511.41,-1194.98,51,886.681
804399,135195,2962.542,1144,24862.13,3242.361,420.4857,7010.458,1043.847,499.0128,8754.745,830.3612,271771,40244,4281.176,1856,34374.22,5316.185,355.4822,10939.9,2591.342,1058.615,16503.62,216.414,56,892.892
587097,294518,803.1735,963,24541.25,612.5673,-83.66882,582.5475,1194.635,1109.089,2008.131,6221.912,243182,97381,1730.575,2085,39135.75,522.9536,407.7469,1005.008,1747.964,784.0804,4119.531,12110.51,55,926.668
956413,153753,732.1901,334,7360.226,-308.4117,107.5749,266.0614,980.0315,1299.089,-322.8104,2748.52,334910,47008,938.1254,531,11622.93,-864.7169,803.4166,1182.286,493.6609,2542.177,-591.8294,5027.217,54,946.084
880693,114136,665.9753,129,9316.622,1759.806,-155.6381,2683.623,447.6512,911.9916,2385.933,-1268.525,280001,30408,983.6306,262,13110.92,2143.006,-208.63,5495.959,1099.693,1876.623,3453.282,-977.3999,49,992.541
1083040,237473,2930.93,1301,26339.57,144.9692,177.0447,2881.761,563.8124,1329.53,11621.69,2443.25,371324,72409,4334.024,1703,37439.52,206.3026,-30.60872,5373.071,1637.502,2783.611,18024.54,4008.02,53,1006.516
917186,206340,7400.642,1194,21696.85,2587.637,-354.7258,15172.51,1689.128,-445.7592,15359.05,778.9355,298047,61561,10110.46,2143,31335.57,2913.11,-203.6563,26209.52,3002.034,-1459.626,26775.73,-2.608538,50,1021.594
209561,17925,1750.969,118,11173.2,251.3062,-108.5755,2803.609,174.0242,-107.9673,3998.077,1889.906,52576,4096,2632.232,99,13719.02,88.57124,-162.0708,4621.975,-21.2716,-180.0432,7237.096,2629.961,35,1032.663
703018,132690,751.03,345,14904.45,963.9847,-119.4065,1776.051,272.9827,201.4483,2636.435,-100.1076,227755,37435,1146.944,701,21930.29,1577.749,-129.3315,2016.76,859.2975,557.3578,4123.936,-459.61,52,1068.709
859286,159426,587.4753,947,27754.7,2853.164,-155.7329,2186.568,1080.908,1136.348,4123.477,-2371.044,283150,45843,803.0025,1546,37002.26,4089.432,-132.2006,4146.096,1558.351,2556.266,6769.822,-2493.496,52,1072.693
424951,186782,7378.183,959,15970.86,3752.64,-150.9525,7310.583,464.5025,370.2615,4302.072,-1828.143,147774,52186,9874.575,1687,22063.14,4744.824,32.4028,12297.76,696.4517,-1779.642,6618.14,-1143.968,43,1148.339
796698,221812,2000.909,875,27050.91,3.719984,15.67947,2225.981,917.1931,-732.7928,7567.953,2039.136,281834,69414,2995.449,1426,41368.28,-422.0045,203.0221,4560.893,1220.888,-240.2145,14586.09,3158.034,55,1160.907
792824,190751,2469.141,949,11417.46,7132.732,147.6149,8238.324,1279.768,945.0314,11020.58,-812.9007,277747,53713,3361.156,1881,14938.13,11272.19,581.1931,13113.8,2314.956,351.672,18835.72,-1564.717,51,1201.722
1050928,304339,461.0976,1177,36843.07,-1211.725,272.3579,2413.354,1763.072,1573.915,3098.487,3332.859,374785,96778,1171.777,1809,52356.96,-2134.429,585.9843,4039.837,2003.485,2706.102,5600.522,6064.771,58,1251.059
