FSC-H,SSC-H,GPR32 - AF488-H,FoxP3-PE-H,CD19 - PE-CF595-H,IgD - PerCP-Cy5.5-H,IFNg-PE-Cy7-H,FPRL1 - AF647-H,Zombie NIR-H,IL-17 - BV421-H,CD24 - BV605-H,CD27 - BV650-H,FSC-A,SSC-A,GPR32 - AF488-A,FoxP3-PE-A,CD19 - PE-CF595-A,IgD - PerCP-Cy5.5-A,IFNg-PE-Cy7-A,FPRL1 - AF647-A,Zombie NIR-A,IL-17 - BV421-A,CD24 - BV605-A,CD27 - BV650-A,Width,Time
915200,149728,15695.77,1984,35113.68,4234.744,-549.464,8553.933,1125.513,1928.204,22389.54,-1893.04,310943,45874,21364.14,2720,49187.02,5679.515,-493.1341,12726.82,2147.237,1607.625,38391.27,-2044.573,59,2.701
488890,296993,9836.362,4069,4872.62,-121.8388,220.8724,505.626,402.5792,25165.81,6617.182,100.0304,171694,96731,13331.77,5565,5665.246,195.7699,236.116,888.6595,575.5619,36825.5,10520.67,-799.5895,56,21.83
835539,390679,13925.93,6747,7991.745,216.7531,404.8861,-17.66592,1406.489,51162.8,12502.2,1107.809,301184,143657,19336.09,8942,9298.637,1108.114,590.7594,-150.8499,1745.856,76160.08,21399.89,-248.037,61,43.12
581035,110335,792.8988,674,19822.35,-498.1517,72.38183,1275.082,355.888,1670.897,3014.194,844.297,233803,33591,1492.778,1253,28680.29,-853.9556,-374.0423,2684.535,824.3539,2828.587,8007.584,214.861,59,87.734
784266,154051,598.2308,688,8692.249,362.5912,111.1886,2137.849,223.9026,478.2303,9429.713,1100.488,268487,46910,897.7363,838,11506.73,1162.154,119.1352,4594.054,909.0731,382.3489,14935.79,1204.357,58,99.952
1022263,157441,3293.808,924,39395.14,-384.1671,269.2701,576.8563,565.616,779.3803,-682.3734,1103.632,364776,46388,5515.241,1412,57044.76,-1026.786,858.576,1376.379,776.8157,2634.739,358.3636,2363.695,53,258.545
651832,164384,1685.533,483,4975.231,133.2267,121.4241,6014.462,1345.687,3265.133,81132.43,348.1568,243402,47760,2059.898,1191,6597.251,-528.5677,57.25787,10120.62,1809.863,1065.478,141550.9,1681.017,56,264.024
525854,193123,2199.897,450,10146.69,-331.8774,307.5809,3420.91,320.1992,1100.11,22351.19,450.8304,218528,59542,3237.415,827,14392.23,-624.212,1070.365,6037.449,747.1569,2327.339,39650.15,1556.904,61,361.044
507148,171534,2168.12,540,6013.308,212.2024,-111.3295,3978.765,1018.484,2003.372,40925.64,3089.657,187928,50645,3330.796,1092,8026.018,196.871,-197.4148,7312.928,2205.283,2574.403,68834.13,4896.223,55,680.425
1041105,182530,414.3483,699,21857.63,2015.674,-249.2249,2747.65,1357.813,367.0108,7541.57,291.8313,353676,57498,731.1218,2337,30079.86,3642.939,-244.2809,4915.133,3442.977,829.8584,13023.93,-506.9167,80,772.624
823333,146836,2032.677,836,30472.86,2777.689,295.3936,2915.539,1656.731,-328.4463,11612.78,2634.708,270744,42665,2814.369,1073,39829.93,4421.693,989.412,4972.261,2434.12,-561.5538,20213.66,3538.193,53,805.021
