FSC-H,SSC-H,GPR32 - AF488-H,FoxP3-PE-H,CD19 - PE-CF595-H,IgD - PerCP-Cy5.5-H,IFNg-PE-Cy7-H,FPRL1 - AF647-H,Zombie NIR-H,IL-17 - BV421-H,CD24 - BV605-H,CD27 - BV650-H,FSC-A,SSC-A,GPR32 - AF488-A,FoxP3-PE-A,CD19 - PE-CF595-A,IgD - PerCP-Cy5.5-A,IFNg-PE-Cy7-A,FPRL1 - AF647-A,Zombie NIR-A,IL-17 - BV421-A,CD24 - BV605-A,CD27 - BV650-A,Width,Time
396548,170324,11864.92,1423,18400.47,965.9301,340.5657,6277.817,766.1711,1165.931,7023.387,159.7347,146451,59223,21336.58,2411,36000.85,1885.626,235.165,12590.48,3016.019,3618.518,12535.15,1592.152,56,12.906
712448,114337,5521.536,1023,13033.94,1470.878,341.4293,3931.359,250.2169,230.0681,6993.866,85.0636,266253,35939,8767.385,1460,22024.67,2603.203,517.2142,6935.603,492.4842,342.9448,12137.65,-76.63094,55,48.428
1040484,146358,3638.82,1146,25782.57,4583.82,-24.25323,6412.664,467.8147,1152.785,4715.64,-1860.859,401313,49298,6102.073,2275,42164.88,6331.531,-110.1597,11305.29,1477.353,1562.985,7221.715,-803.514,64,71.977
947929,170375,3919.693,933,13813.5,921.355,-223.8415,6381.842,511.1515,2662.049,18195.64,643.3319,385624,54348,6594.529,1683,22199.77,1308.96,-461.9727,10502.07,2045.541,4659.939,35752.27,1256.244,58,82.882
684341,204709,3558.845,811,25805.67,1646.777,253.5848,3995.042,511.8888,205.0608,2905.45,793.3135,272901,67990,6392.047,1398,42744.62,2347.747,924.8261,6658.287,1045.916,610.839,5342.865,1510.846,56,84.582
890505,96477,2357.929,486,13667.01,-171.4718,117.6113,404.2657,213.1351,1355.244,4828.5,438.2506,325204,28456,3146.137,1001,19245.98,-275.2509,804.6031,-381.2571,-248.4585,4735.378,10801.97,428.476,59,84.93
1120707,191092,7818.485,1747,42640.6,-215.0766,16.60521,1729.351,642.8608,1093.203,76.9407,2994.997,448010,66489,11427.2,3495,69858.61,-1408.206,-123.2457,3263.537,1206.638,2783.648,736.0447,8381.976,66,88.84
741439,129149,8331.079,955,19712.88,4363.69,258.1936,6491.034,195.8096,1561.549,3282.89,469.5591,303562,44445,13255.51,1981,31258.37,8104.479,1062.193,9762.429,229.5975,2273.459,3656.37,3928.547,66,93.126
807857,86880,5048.331,721,6846.021,249.459,176.1877,2317.471,629.4132,68.80299,2481.726,180.101,298308,27911,7874.209,1427,9790.94,489.015,593.6718,3461.607,644.3791,-175.2247,6195.717,1663.654,63,106.87
754157,154392,33597,2731,9411.941,1010.276,49.3905,6684.287,1183.847,561.7946,843.4186,444.2024,294129,50932,54930.93,4363,14956.71,1943.388,167.1109,11672.68,2081.117,222.0748,2461.003,1000.993,64,117.842
