FSC-H,SSC-H,GPR32 - AF488-H,FoxP3-PE-H,CD19 - PE-CF595-H,IgD - PerCP-Cy5.5-H,IFNg-PE-Cy7-H,FPRL1 - AF647-H,Zombie NIR-H,IL-17 - BV421-H,CD24 - BV605-H,CD27 - BV650-H,FSC-A,SSC-A,GPR32 - AF488-A,FoxP3-PE-A,CD19 - PE-CF595-A,IgD - PerCP-Cy5.5-A,IFNg-PE-Cy7-A,FPRL1 - AF647-A,Zombie NIR-A,IL-17 - BV421-A,CD24 - BV605-A,CD27 - BV650-A,Width,Time
1130253,216712,1484.494,668,19099.13,-463.5227,-23.92598,450.0379,1464.707,1453.017,33446.8,5948.121,457132,82987,866.4713,1336,30438.33,-1321.607,154.8279,948.2283,2578.266,4986.803,74629.98,12319.69,63,6.739
984271,196008,11129.82,1982,43264.73,5928.4,-150.0628,-342.6941,1598.323,227.0375,7091.771,-300.0023,417388,72959,19093.84,3868,70382.36,10387.63,231.6912,-72.07262,4033.332,-2678.179,13955.06,2533.306,60,9.446
950424,151964,6118.459,1264,45710.11,1301.991,13.88308,160.9067,921.2092,1408.406,6376.005,1629.327,454910,61102,13086.55,2789,71167.59,3896.032,51.36308,1790.635,2807.169,4236.027,15932.03,1654.333,91,23.319
1217313,217681,13523.76,1931,9300.827,843.2927,465.9985,-520.4537,1128.745,1270.61,45339.55,3945.713,541180,84371,24409.64,2998,15566.77,2458.34,1135.604,-1006.271,2546.6,2468.329,94760.13,8286.019,63,26.633
928161,118163,2296.867,309,21432.91,2853.455,62.32534,16.23919,45.07919,2483.578,4030.947,-1999.948,385969,42845,5130.974,688,38661.34,2618.401,1366.746,855.5963,-93.8394,4971.208,2482.154,1287.353,71,35.329
921449,160571,6660.69,1734,43268.23,2466.248,-105.5525,-499.137,1257.84,2944.224,9447.831,-3469.846,393729,60625,10427.29,3385,77189.38,2036.68,-144.414,-1818.134,2335.145,7103.999,17808.96,-4756.535,70,46.889
1231486,232127,667.561,885,27254.5,806.1494,-369.1793,558.3254,1022.252,1790.587,17841.29,7078.879,503427,88245,1098.828,1450,48733.61,914.8243,-132.7673,971.0087,1222.559,3349.17,36205.14,14755.44,66,47.499
1108800,235348,6914.445,1275,26735.6,-359.8791,380.0278,604.4875,2521.077,3230.724,27973.08,4633.23,494383,91752,12298.75,2103,45391.97,-1380.836,1277.025,1175.596,6442.233,7518.778,64634.59,8705.53,62,50.012
960409,310281,8754.241,1642,51872.05,-246.1105,300.8535,454.5005,1097.366,3155.344,5948.889,7702.938,457269,121867,15546.67,3979,95316.62,-1173.515,645.2482,350.6579,2926.622,2908.399,12354.38,17568.55,65,60.011
614820,116487,9336.729,1532,22022.06,311.9357,436.6002,754.2393,1049.74,1722.337,5476.791,1200.197,245671,41869,15583.96,2995,37478.08,267.0992,1193.902,2008.809,1821.885,2896.754,12306.38,5026.062,60,67.637
1003776,186014,24934.98,3275,25062.75,264.7211,-248.1539,328.7231,1371.982,805.343,9699.092,1674.544,467036,77100,53459.64,7178,51345.5,2233.59,-479.9562,-888.2858,3562.009,710.4849,22747.89,1050.419,67,92.275
1108136,238848,1620.308,1067,41143.94,-446.0406,-329.2837,367.5951,1247.678,1944.949,14629.13,6962.734,423681,84623,3759.32,2231,69200.17,-1473.126,-473.7684,1170.046,2265.925,2691.354,23340.42,14230.35,47,101.879
898718,152547,10526.96,1799,45707.2,3989.989,20.6814,-142.6473,531.3786,571.4309,16432.04,-2011.829,367667,51447,17355.04,3849,76395.22,6923.329,466.2079,911.5665,-121.0204,-220.8803,36972.02,-4747.716,57,108.981
