FSC-H,SSC-H,GPR32 - AF488-H,FoxP3-PE-H,CD19 - PE-CF595-H,IgD - PerCP-Cy5.5-H,IFNg-PE-Cy7-H,FPRL1 - AF647-H,Zombie NIR-H,IL-17 - BV421-H,CD24 - BV605-H,CD27 - BV650-H,FSC-A,SSC-A,GPR32 - AF488-A,FoxP3-PE-A,CD19 - PE-CF595-A,IgD - PerCP-Cy5.5-A,IFNg-PE-Cy7-A,FPRL1 - AF647-A,Zombie NIR-A,IL-17 - BV421-A,CD24 - BV605-A,CD27 - BV650-A,Width,Time
698112,153116,1673.308,918,28644.92,5851.449,-335.6733,6415.14,360.8282,997.7408,15876.95,-1270.779,267571,50284,2731.021,1847,42146.83,8963.667,289.727,12367.17,62.8969,1057.576,27906.96,46.26474,63,243.149
953717,177997,1178.582,1108,40189.09,360.4477,-117.7645,1242.732,849.619,1957.944,22208.13,11965.9,354832,58298,1670.323,1689,59304.88,157.2586,246.446,3347.915,1767.323,2990.018,36738.63,21902.62,62,386.066
813142,88353,204.4933,266,15427.96,782.6752,66.57278,1919.628,308.8946,728.1532,8074.783,7.166641,277563,26692,387.9516,162,20552.05,2272.121,246.3362,2595.079,1142.773,1333.71,15597.63,-1696.529,59,535.796
902834,100121,1824.491,483,15640.86,2043.636,-183.6192,2357.56,516.3298,772.0721,4106.07,-38.95015,304421,29382,2697.845,791,22103.01,3050.496,-451.4417,3219.511,1236.338,1289.705,9010.358,-399.8432,59,691.513
413663,201904,490.48,720,22168.33,-61.49455,-57.09528,1628.223,746.8566,280.5892,7323.458,969.4538,176249,64632,605.368,1479,35841.08,335.4828,39.78762,3282.702,1306.023,1118.333,14260.69,1638.841,58,807.066
922882,116451,2372.998,852,20159.95,3788.24,-106.3477,6376.727,749.4722,274.1885,5851.55,2062.598,325979,36668,3367.824,1572,30158.04,5943.158,-304.5185,12139.71,1518.465,-508.8167,11670.87,1972.235,57,977.411
1013713,198898,5559.407,1460,44653.7,2100.53,159.3236,14773.98,1054.675,795.3817,40087.81,4464.852,371388,64635,8245.899,2549,63887.41,2947.448,555.4476,26518.22,2340.573,546.2606,68806.3,8932.151,63,1125.68
854468,221764,1003.433,682,5099.503,552.7747,44.04912,106.4469,525.0701,8579.511,1595.769,77.34473,310288,66888,1757.558,1495,7651.255,553.9788,193.5997,42.21295,1303.471,12574.8,2333.347,689.2263,59,1135.028
795027,225051,4191.347,959,34424.49,8.507174,-0.3314713,8395.022,1174.065,147.4887,70841.6,7096.391,335566,77520,5588.123,1810,55494.52,704.5289,297.3135,13988.97,1796.463,-2862.106,138041.1,10770.5,65,1147.484
505223,205769,1213.773,588,28287.68,3205.441,-1.943546,7477.918,743.2128,-530.3854,9660.421,457.2719,211917,65987,1819.148,1483,42832.92,6014.642,0.3912869,13745.7,851.2619,-974.6145,15359.91,2299.772,63,1205.393
1013953,206053,2504.687,1486,52494.98,2189.68,-1.714071,8110.386,1051.946,-939.1407,46121.34,7587.475,372703,68566,4080.174,3195,73955.2,3615.952,105.7995,12515.22,1517.361,-3309.275,79350.02,16109.65,63,1287.755
896279,103874,1243.325,723,21181.38,3371.103,2.385501,8288.452,1196.14,-134.0258,10617.78,2063.902,307175,27925,1323.069,1484,29980.74,4923.827,523.7654,13375.46,1654.947,-166.1483,21261.76,4662.45,56,1309.71
1198503,242641,1432.581,1133,24133.03,717.2712,81.67698,1609.837,702.2634,2234.083,2372.319,7377.118,474895,82935,2844.554,2114,38786.48,1243.523,435.7437,2251.634,1455.426,2883.9,5895.714,14558.05,62,1427.019
630210,201626,1148.065,742,23985.27,6046.817,-1.564154,9970.884,101.3229,49.91238,3760.204,1342.081,256445,65422,2003.473,1114,40246.2,11133.64,-173.9019,17997.87,919.2639,726.9203,9502.885,2832.727,62,1679.853
678055,172505,2272.946,846,23585.95,2031.113,-271.6497,7831.412,1163.821,701.5834,25461.08,3956.524,265102,55127,4276.055,1594,35864.65,3768.805,-110.3509,14221.48,1066.409,1659.771,48997.14,5644.24,63,1707.952
