FSC-H,SSC-H,GPR32 - AF488-H,FoxP3-PE-H,CD19 - PE-CF595-H,IgD - PerCP-Cy5.5-H,IFNg-PE-Cy7-H,FPRL1 - AF647-H,Zombie NIR-H,IL-17 - BV421-H,CD24 - BV605-H,CD27 - BV650-H,FSC-A,SSC-A,GPR32 - AF488-A,FoxP3-PE-A,CD19 - PE-CF595-A,IgD - PerCP-Cy5.5-A,IFNg-PE-Cy7-A,FPRL1 - AF647-A,Zombie NIR-A,IL-17 - BV421-A,CD24 - BV605-A,CD27 - BV650-A,Width,Time
1283921,4574909,363.5091,132,4641.566,-485.4207,650.64,888.7811,982.3602,61719.27,4837.655,-887.3121,505255,2908789,-316.9378,247,11900.01,-1719.896,2157.907,-445.4403,-1932.792,216116.4,-14200.19,5080.357,39,994.548
579424,238966,2136.328,14,7966.137,3278.922,-424.7117,4303.467,1432.5,849.2739,3140.807,-706.2437,187226,89778,3450.363,212,13169.95,5558.307,-81.47151,8203.338,3450.394,552.3918,7391.015,-1568.598,67,17336.129
582119,1.699794E+07,865.124,315,2728.792,4.994881,423.2839,441.1155,844.8984,78188.38,7664.414,-1554.988,271180,4666647,3409.945,1374,10158.34,442.2765,1516.386,-367.263,1802.614,186350.5,16743.53,-3081.325,91,22912.08
550650,1.667415E+07,939.2568,114,1209.481,-116.737,391.6858,720.6406,727.5921,80153.41,11776.97,-2324.418,226105,2295341,2971.527,464,5970.629,-1387.407,1557.658,790.9834,2689.416,166349.2,12925.76,919.5721,77,24710.037
206162,0,7925.003,3817,10756.09,-783.6823,1256.449,306.288,-81.11906,8490.213,1010.941,1315.933,73198,-56,7770.64,3632,10568.55,57.15207,1419.525,-813.548,-4752.759,7793.488,1678.564,-224.0786,54,31536.318
599549,225932,3888.402,2029,7344.078,964.6908,307.4153,1858.277,2541.628,39400.7,4448.298,3522.923,234572,73468,5459.046,2719,8698.65,2543.817,666.1506,2730.384,4279.83,60521.55,8060.385,4273.253,60,31763.643
266841,86118,5058.737,1361,4739.507,757.8836,-219.6232,166.9684,2449.87,53174.94,7323.129,389.0396,100198,29071,7390.841,2446,6508.915,1421.449,-400.7854,204.3828,3254.299,78738.76,10580.02,568.4218,55,31817.434
365712,0,844.4779,247,13880.75,2084.565,-258.7898,2391.887,851.9257,1740.228,3410.589,-1172.436,79793,-25,696.0997,353,14279.7,2278.66,-402.7078,1098.251,748.2897,1427.744,77.99963,-2212.276,23,33573.594
241310,0,214.3631,300,9405.2,2069.281,-163.5383,-279.3268,325.6527,1413.913,241.0793,-1972.441,66839,-13897,205.8287,515,9129.399,798.9185,817.0656,-178.2917,-3380.411,896.0052,-955.031,-795.5939,27,33575.438
252709,0,337.5961,344,14981.95,2564.938,270.404,8948.071,197.5316,270.9653,2521.543,1553.691,84495,-1610,211.9841,272,15433.53,2317.699,772.7841,3129.138,-632.8417,314.5259,-794.9745,-365.8557,33,33579.715
178620,32670,511.8178,276,9133.739,3297.374,-251.3287,4667.036,960.7834,-1488.853,14523.22,2263.363,82937,18677,659.0482,406,17011.88,6613.195,-804.8947,8803.644,2479.979,-2440.317,24324.59,1797.76,67,33598.262
319303,61828,1136.888,500,24689.83,4630.947,-172.7778,7837.697,1523.886,290.9192,4996.445,129.2716,111943,20355,1698.148,1228,34554.45,7346.827,-183.1505,13776.5,2762.81,1283.409,9675.232,-852.6696,52,33607.18
353007,162819,2722.055,587,23627.63,2006.168,63.82897,2539.886,1328.331,1367.962,2298.131,-333.9572,170372,69720,3783.849,1057,30759.6,3394.564,382.1826,3662.667,2109.93,2714.759,4354.73,878.245,62,33615.379
255292,118007,794.1205,212,15852.27,4815.757,-184.5861,3142.235,215.5832,656.3755,5270.272,928.741,99105,35801,1377.955,642,22453.72,6376.143,-1.588244,5035.598,418.1632,818.6478,9224.045,1832.534,53,33620.09
653504,124031,1406.48,387,20983.46,4381.043,-221.1971,5958.018,573.9217,1262.546,5070.428,620.5602,246282,42606,1966.517,268,29626.58,6024.762,-122.0846,10674.38,1304.333,1525.473,8963.551,1072.438,55,33625.121
206090,171516,1027.466,530,15159.66,4086.127,183.4855,8182.253,616.1411,1127.877,5605.563,671.97,67157,45577,1962.384,719,20115.5,6447.815,237.527,14900.23,920.0001,1623.835,9958.051,1446.915,32,33627.16
670160,94235,1732.118,745,35167.07,2895.667,-304.3178,4439.814,1711.577,395.9001,2759.16,589.4058,202149,23369,1851.825,798,48101.86,4835.159,-537.4188,6458.417,2583.991,674.3142,3753.085,-124.2346,41,33627.492
406011,142869,380.5434,330,22423.91,1371.322,-119.7229,960.5564,1931.15,1318.124,8189.602,-495.3714,112548,35032,438.6072,516,29146.76,1915.506,-85.93434,1971.457,3800.95,2325.338,11344.63,-512.0436,34,33628.031
370932,206998,720.8251,673,30056.07,4229.498,534.4224,7337.3,1204.98,110.2551,4064.794,2613.804,125147,55703,1022.947,1273,42291.44,7363.865,664.3918,10968.33,2433.03,387.3304,5391.814,5431.761,38,33628.063
273490,163285,467.1264,161,22591.02,728.8165,118.3049,1369.761,780.9103,-667.1951,4338.729,2851.367,82156,40867,623.1422,380,30428.85,593.8723,479.3213,2596.177,1666.273,-173.2078,7677.609,3255.244,32,33628.57
428596,107832,316.0088,21,6365.763,207.2043,195.7741,142.2561,662.1242,970.9689,-283.714,832.4798,107604,24405,308.7866,-23,8106.993,205.9672,475.0887,569.7191,1222.883,823.8049,-704.5436,1118.305,31,33629.141
894519,171624,557.3655,859,37802.24,314.519,-380.9119,486.8853,1076.917,2009.358,1229.827,1162.851,288104,46467,662.894,1551,55309.96,271.6868,-790.2905,1002.473,1688.969,2003.051,1832.785,1983.434,43,33630.008
578157,67087,1408.201,185,12131.77,2356.068,201.4942,4261.927,89.52223,-9.717034,8440.314,-1170.496,164420,14579,1675.673,444,16484.61,2574.222,620.8935,6548.558,130.6462,-267.5601,12091.65,-1092.335,36,33630.055
469352,89644,1748.104,310,19533.91,4328.25,-138.9073,7819.927,1541.583,197.0171,4838.853,806.5784,136782,23278,2186.307,488,29236.31,6979.211,28.97254,12806.83,2483.384,1793.157,7886.774,628.2819,36,33630.137
820755,250518,1284.758,689,10430.74,96.16186,-188.9249,-74.87379,1058.148,762.8246,-616.8055,16327.26,319189,77447,1395.151,1345,17051.51,-29.25567,-298.5901,222.3952,2092.001,947.5249,-3563.655,29735.02,51,33630.766
461739,130366,768.8804,332,9366.333,1071.933,-20.24503,2662.431,411.3407,897.046,1698.998,83.65772,155226,35885,686.4883,782,13137.17,1816.641,-360.0909,4572.662,1654.243,1645.363,2754.869,-645.6209,45,33634.742
884273,114611,1154.746,288,13806.29,5012.979,-187.9384,12472.7,580.4868,906.7118,3692.07,-1233.22,271948,30360,1823.511,822,18228.11,7609.407,-204.4868,18397.98,1297.458,-221.0342,6522.773,-1246.874,49,33640.527
495285,156817,751.3123,1227,37303.39,7045.847,-26.75034,5509.234,294.9748,1513.186,13084.43,-519.3781,168408,47322,1080.093,2233,54263.45,11969.37,355.3996,9720.279,-223.4665,2316.03,22744.01,-1762.845,55,33641.969
